onset	duration	correct
60.0	63.0	1
156.0	46.5	1
235.5	64.5	1
312.0	3.0	0
369.0	63.0	1
459.0	58.5	1
546.0	132.0	1
708.0	63.0	1
795.0	43.5	1
852.0	1.5	0
966.0	40.5	1
1041.0	69.0	1
1138.5	37.5	1
1218.0	27.0	1
1278.0	15.0	1
1323.0	27.0	1
1380.0	97.5	1
1503.0	42.0	1
