onset	duration	correct
61.5	30.0	1
154.5	22.5	1
214.5	37.5	1
279.0	84.0	1
387.0	40.5	1
456.0	22.5	1
507.0	58.5	1
595.5	37.5	1
655.5	79.5	1
762.0	21.0	1
825.0	37.5	1
895.5	49.5	1
969.0	18.0	1
1032.0	33.0	1
1099.5	28.5	1
1155.0	18.0	1
1203.0	48.0	1
1278.0	31.5	1
