onset	duration	correct
60.0	42.0	1
135.0	16.5	1
219.0	55.5	1
300.0	105.0	1
430.5	43.5	1
498.0	48.0	1
573.0	72.0	1
675.0	45.0	1
741.0	94.5	1
859.5	33.0	1
934.5	52.5	1
1023.0	42.0	1
1096.5	55.5	1
1191.0	51.0	1
1275.0	30.0	1
1332.0	4.5	0
1368.0	126.0	1
1521.0	45.0	1
