onset	duration	correct
60.0	40.5	1
132.0	12.0	1
178.5	52.5	1
255.0	106.5	1
384.0	55.5	1
468.0	3.0	0
501.0	105.0	1
634.5	43.5	1
699.0	60.0	1
780.0	16.5	1
837.0	28.5	1
898.5	66.0	1
987.0	27.0	1
1053.0	57.0	1
1143.0	66.0	1
1234.5	18.0	1
1279.5	133.5	1
1437.0	30.0	1
